编号,品牌,产区,豆子名称,风味描述,参考价格/规格,每百克价格,优点,缺点,最新评分,萃取建议,首测日期,复测日期,复测日期,群友评价,群友评价,群友评价,群友评价
25,Coffee Buff,拼配,瑰夏自由4.0,花香 柑橘 桃子,106/250,42.4,香气明显 甜感充足,触感稍薄,5,,2024/1/5,,,,,,,
26,捌比特,埃塞,耶加雪菲soe,糖渍柠檬 树莓,38/100,38,酸质尚可,风味不足 味道略杂,3,,2024/1/11,,,,,,,
27,Bob,埃塞,花魁soe,花香 柑橘 ,60/227,26.4,风味明显 ,甜感稍弱 稍有杂味,4,,2024/1/24,,,,,,,
28,乔治队长,拼配,西海岸,蜜瓜 西瓜 水果糖,72/200,36,风味明显 清爽,触感稍弱,5,,2024/1/25,,,,,,,
29,隔壁工坊,拼配,五羊拼配,雪糕冰淇淋 ,38/100,38,整体均衡,风味指向弱,3,,2024/1/27,,,,,,,
30,良致,埃塞,龙眼coe版,红提 石榴 木瓜,63/200,31.5,水果风味明显 整体均衡,略有酵感,4,,2024/1/30,2024/9/14,,,,,,
31,扑满,拼配,5号拼配,黄油饼干,42/200,21,醇厚度尚可,风味不足 触感稍弱,3,,2024/1/31,,,,,,,
32,Littlemango,埃塞,奶砖拿铁,花香 香草冰淇淋,58/200,29,整体均衡 冰淇淋感明显,触感稍弱,4+,,2024/2/1,,,,,,,
33,绝对小孩,拼配,低因拼配,芝士 黄油比你哥哥,88/250,35.2,低因 芝士风味尚可,风味单一且强度弱,3.5,,2024/2/2,,,,,,,
34,Iris,拼配,Ink拼配,巧克力 烤榛子 烤杏仁,39/227,17.6,价格便宜 触感尚可,风味不足 味道稍杂,2,,2024/2/4,,,,,,,
35,有事没事,拼配,黄油拼配,黄油 烤杏仁,40/227,17.6,价格便宜 触感尚可,风味不足,3,,2024/2/7,,,,,,,
36,Joker,拼配,巴别塔,黄油饼干 烤榛子 焦糖,58/227,25.6,整体均衡 甜感在线 触感在线,风味指向弱,4,,2024/2/9,,,,,,,
37,Joker,拼配,摆脱冷气,莓果 核果 水果酒,78/227,34.4,水果风味明显 整体均衡,微有酵感,4+,适当降低萃取率,2024/2/11,2025/1/26,,,,,,
38,Seesaw,拼配,鹦鹉拼配,可可 焦糊 硫化物,50/200,25,无,瑕疵豆多 风味弱 负面明显,2,,2024/2/19,,,,,,,
39,良致,拼配,白巧克力,白巧 杏仁 红茶,58/200,29,甜感在线 触感好,稍腻,4-,,2024/2/21,,,,,,,
40,Littlemango,拼配,奶油泡芙,烤杏仁 可可 奶油,48/200,24,触感尚可,风味不足 不耐萃,3+,,2024/2/22,,,,,,,
41,扑满,埃塞,Yaye,饼干 坚果,88/200,44,整体均衡,风味不足 性价比偏低,3,,2024/2/24,,,,,,,
42,Rustic Roots,拼配,油画向日葵,奶油 焦糖,50/227,22,触感尚可 甜感尚可,风味一般 ,3.5,,2024/2/26,,,,,,,
43,牛小咖,拼配,说晚安（低因）,坚果 可可,78/300,26,低因,风味一般 触感差,3,,2024/2/23,,,,,,,
44,有容乃大,埃塞,埃塞之歌,花香 莓果,105/200,52.5,香气在线,性价比稍低 略有发酵感,4-,,2024/3/9,,,,,,,
45,皮爷,拼配,大航海家,烤榛子 麦芽糖 黑巧,108/250,43.2,整体均衡,瑕疵率高 性价比低,2.5,,2024/3/2,,,,,,,
46,河传水流,埃塞,粉色湖泊,桃子 花茶 咖啡花,138/200,69,香气明显,性价比偏低,4-,,2024/3/11,,,,,,,
47,乔治队长,拼配,粉象拼配,柑橘酸 花香 蜜瓜余韵 ,128/454,28.2,味道丰富 余韵微妙,奶咖稍腻,4+,,2024/3/6,,,,,,,
48,捌比特,拼配,大家瑰袖,深色莓果 焦糖 坚果,79/250,31.6,整体均衡,风味偏弱 干净度稍差,4-,,2024/3/7,2025/7/7,,,,,,
49,扑满,拼配,新航线,黑莓 饼干,90/454,19.8,整体均衡 干净度尚可,风味偏弱,3.5,,2024/3/5,,,,,,,
50,乔治队长,埃塞,哈马修soe,青柚 柑橘 覆盆子,66/200,33,香气明显 余韵清爽,触感稍薄,5,,2024/3/8,,,,,,,
51,佩植,拼配,纽约曲奇,黄油饼干 烤杏仁,42/150,28,整体均衡,风味指向弱 瑕疵率略高 广告多,2.5,,2024/3/9,,,,,,,
52,Softpillow,拼配,紫葡萄,紫葡萄 发酵感 八角,82/227,36.1,甜感尚可,发酵感太重,3.5,,2024/3/12,,,,,,,
53,乔治队长,拼配,牛奶公司,鲜花饼 费列罗巧克力,71/200,35.5,甜感高 干净,风味指向弱 性价比微低,4-,,2024/3/13,,,,,,,
54,珂来茉庄园,拼配,莫妮低苹果园,苹果酸 焦苦 烟熏,39.2/225,17.4,无,负面风味明显,1.5,,2024/3/15,,,,,,,
55,Softpillow,拼配,热带雨,花香 柑橘 热带水果,50.8/227,22.4,性价比高 整体干净 甜感尚可,触感稍弱,4,,2024/3/17,,,,,,,
56,Joker,拼配,查理工厂,黄油饼干 烤杏仁 白巧,48/120,32,触感好 干净度高,风味偏弱,4,,2024/3/19,,,,,,,
57,Softpillow,拼配,休息日,柑橘 枫糖 红茶,55.8/227,24.6,甜感高 性价比高,触感稍弱,4+,,2024/3/20,,,,,,,
58,四人,拼配,橙蜜,橙子 花香,88/454,19.4,风味具象 甜感高 性价比高,层次感稍弱 疑似增味,4,,2024/3/22,,,,,,,
59,艾榕,拼配,罗豆拼配,焦苦 烟熏,72/227,32.6,无,风味差 价格高 广告多,1,,2024/3/20,,,,,,,
60,艾思品,拼配,布朗生巧,巧克力 烤吐司 香料余韵,63/227,27.8,触感好 干净 风味具象,层次感稍弱,4.5,,2024/3/24,,,,,,,
61,Softpillow,拼配,饼干罐,黄油饼干 焦糖 奶油,42/227,18.5,触感顺滑 均衡 性价比高,风味指向性弱,4,,2024/3/26,,,,,,,
62,河汉,拼配,综合拼配,坚果 巧克力 焦糖,79/500,15.8,性价比高 整体均衡,风味指向弱 层次感稍弱,4,,2024/3/29,,,,,,,
63,豆叔,拼配,醇爵士,焦糖 坚果 黑巧,49.9/454,11,便宜,瑕疵率高 风味一般,2.5,,2024/3/31,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,Softpillow,拼配,花丛中,金盏花 尤加利 樱桃 红酒,118.8/227,52.3,香气明显 层次丰富,小贵 奶咖一般,4,美式,2024/4/2,,,,,,,
66,野刺猬,埃塞,草莓派,草莓酱 橙子 奶油,69/200,34.5,酸质干净 甜感高 果汁触感,暂无,4.5,,2024/4/4,,,,,,,
67,Joker,拼配,那条龙,蜂蜜 乳酪 杏桃,78/227,34.4,甜感高,美式风味偏弱,4+,,2024/4/6,,,,,,,
68,佩植,拼配,熔岩可可,黑巧 焦苦 木质,39/150,26,无,性价比低 风味差  广告多,2,,2024/4/7,,,,,,,
69,变色龙,拼配,坠入爱河,酒香 发酵酸,30/114,26.3,甜感尚可,发酵感重 风味偏弱,3.5,,2024/4/9,,,,,,,
70,乔治队长,埃塞,阳光耶加soe,水果糖 陈皮 红茶,73/200,36.5,均衡干净 余韵尚可,触感稍薄,4,,2024/4/12,,,,,,,
71,乔治队长,埃塞,达摩soe,甜橙 花香 白巧,68/200,34,甜感高 香气明显,暂无,4.5,,2024/4/11,,,,,,,
72,良致,埃塞,龙眼,巴旦木 蜂蜜 龙眼,58/200,29,甜感高 整体均衡,风味不突出 触感稍差,4-,,2024/4/14,2024/9/14,,,,,,
73,艾思品,拼配,奶油嘎啦果,苹果派 奶油,87/227,38.3,暂无,性价比低 苦涩明显,2.5,,2024/4/17,,,,,,,
74,艾思品,拼配,豆乳盒子,豆乳 豆浆,85/227,37.4,奶咖风味明显,触感差 性价比低,3,,2024/4/18,,,,,,,
75,Tomfee,埃塞,瑰夏soe,花香 苹果 白巧,36/100,36,奶咖香气明显 甜感高,美式一般,4+,,2024/4/20,,,,,,,
76,Coffee Buff,哥伦比亚,瑰夏soe,雪花酥 杏仁 黄糖 绿茶,114/250,45.6,甜感高 干净度高,性价比稍低,4+,,2024/5/8,,,,,,,
77,乔治队长,拼配,黑豹拼配,黑巧 枫糖,94/454,21.1,整体干净 性价比高 奶咖甜感高,风味指向弱 略有瑕疵,4,,2024/4/24,,,,,,,
78,Joker,埃塞,夏夏浓,果酱 白巧 冰淇淋,93/227,40.9,风味突出 甜感高 ,稍贵,4.5,,2024/5/1,,,,,,,
79,Joker,拼配,小火炉,热红酒 迷迭香 奶油可可,78/227,34.3,酒香明显 甜感高,触感偏弱 余韵弱 发酵感稍重,4-,奶咖,2024/4/26,,,,,,,
80,启程拓殖,拼配,Danny Boy,烤榛子 黑巧,56/200,28,整体均衡,性价比稍低 缺乏风味特点,3.5,,2024/4/27,,,,,,,
81,佩植,拼配,落日香草,香草 百利甜,58/150,38.7,风味明显,触感差 味道偏杂 广告多 性价比低,2.5,,2024/4/29,,,,,,,
82,乔治队长,拼配,海狮拼配,太妃糖 焦糖 橘子糖,95/454,20.9,甜感尚可,触感差 层次感弱,3+,,2024/5/6,,,,,,,
83,八平方,埃塞,花魁soe,花香 杏干 白巧,65/250,26,花香明显 甜感高 性价比高,触感稍弱,4,,2024/5/1,,,,,,,
84,明谦,拼配,落日绵巧,黑巧 烟熏 坚果,53/500,10.6,便宜,瑕疵率高 风味差 触感差,2,,2024/5/3,,,,,,,
85,野刺猬,拼配,瑰夏自由,橙花 橘子糖 红茶 白巧,108/200,54,花香明显 均衡,略贵 触感稍薄,4,,2024/5/7,,,,,,,
86,明谦,拼配,美洲豹,榛子 太妃糖 焦苦,79/500,15.8,便宜,风味差 触感差 广告多,2,,2024/5/12,,,,,,,
87,辛鹿,拼配,白巧曲奇,曲奇饼干 白巧,46/252,18.3,甜感在线 性价比高 包装方便,风味前度稍弱,4,,2024/5/10,,,,,,,
88,逸摸鱼,埃塞,花魁7.0（手冲）,花香 热带水果,36/150,24,性价比高 甜感高 花香明显,暂无,4+,,2024/5/13,,,,,,,
89,Gee,埃塞,香水soe,花香 热带水果 草莓奶昔 奶茶,169/227,74.4,香气丰富 余韵微妙,触感稍薄 价格偏贵,4.5-,,2024/5/9,,,,,,,
90,启程拓殖,拼配,Shoegaze 联名款,菠萝蜜 巴斯克蛋糕 冰淇淋,66/200,33,干净清爽 奶咖甜感在线,美式相对一般,4+,,2024/5/16,,,,,,,
91,Rightpaw,拼配,浆果红丝绒,浆果 芝士蛋糕 酒感,82/200,41,奶咖尚可,发酵感过重,3.5,,2024/5/18,,,,,,,
92,乔治队长,拼配,荒诞故事,草莓 水蜜桃 樱桃,82/200,41,风味明显,余韵差 触感稍差 稍贵,4,,2024/5/21,,,,,,,
93,Water Power,埃塞,咸蛋黄芝士,蛋黄 芝士,69/200,35.5,奶咖风味明显,触感偏差 美式一般,3.5,,2024/5/19,,,,,,,
94,光咖坊,拼配,苹果白兰地,苹果 白兰地 酒心巧克力,165/454,36.3,风味具象 甜感高,微不耐萃 微有发酵感,5,冷奶咖,2024/5/20,,,,,,,
95,明谦,拼配,教父（金标）,焦苦,74/500,15,便宜,风味不足 广告朵 瑕疵率高,1.5,,2024/5/15,,,,,,,
96,Softpillow,埃塞,路边野餐,太妃糖 杏仁 普洱,58/227,25.6,便宜,不耐萃 风味不足,3,,2024/5/25,,,,,,,
97,风气,埃塞,春分soe,花香 白巧 柑橘,72/200,31,干净清爽 奶咖在线,酸度稍高 触感稍薄,4,奶咖,2024/5/27,,,,,,,
98,Pinda,拼配,白巧喷泉,白巧 奶昔 苹果,64/227,28.2,整体干净 甜感在线 ,触感稍薄 美式一般,4,奶咖,2024/5/28,,,,,,,
99,分子,拼配,Laze Laze,红苹果 巧克力 黑糖,95/454,20.9,整体均衡 无杂味 余韵长,风味强度弱,3.5+,,2024/5/29,,,,,,,
100,分子,埃塞,不苦buku,焦糖 香料 水果,76/227,33.5,奶咖高甜,低温甜感减弱 触感一般 ,4+,奶咖,2024/6/5,,,,,,,
101,李想咖,埃塞,蜜香梅soe,莓果 柑橘 李子,79/454,17.4,性价比高 整体均衡,触感稍弱,4-,延长养豆时间 冷奶咖,2024/6/6,2024/9/14,,,,,,
102,Hawelka,拼配,Kuba拼配,香草 焦糖,-,-,柔和 甜感在线,不好买到,4,,2024/6/7,,,,,,,
103,Zoy,拼配,可可海鸟,可可 香草,68/227,30,风味具象,风味单一 触感差 隐瞒处理法 态度恶劣,1,,2024/7/14,,,,,,,
104,光宗豆号,埃塞,瑰夏soe,莓果 奶油 坚果,76/250,30.4,水果风味明显,不耐萃 触感稍弱,4,,2024/6/11,,,,,,,
105,风气,埃塞,夏至soe,热带水果 白巧,62/200,31,风味干净 酸质明亮,不耐萃 触感稍薄,4,大幅降低萃取率,2024/6/10,,,,,,,
106,八平方,云南,红酒日晒,红酒 乌梅 酒心巧克力,68/250,27.2,酒香明显 奶咖在线,略有发酵感 触感稍弱,4,,2024/6/6,,,,,,,
107,良致,埃塞,软桃咕咚,白桃 奶油 花香,64.6/200,32.3,香气柔和 奶咖在线,触感稍薄 美式相对一般,4+,奶咖,2024/6/19,,,,,,,
108,如本,拼配,雨中曲,烤坚果 焦糖 烤苹果,68/227,30,干净均衡,风味指向弱,3.5,,2024/6/20,,,,,,,
109,AF,埃塞,映夏soe,柑橘 花香,32.4/227,14.3,性价比高 整体均衡,略不耐萃,4.5-,适当降低萃取率,2024/7/8,2025/6/11,,,,,,
110,风气,哥斯达黎加,丹桂soe,糖炒栗子 烤榛子 柑橘,66/200,33,香气扎实干净,触感稍薄 微有瑕疵,4+,,2024/6/27,,,,,,,
111,光宗豆号,埃塞,花魁soe,柑橘 草莓 白巧,75/250,30,香气明显 干净均衡,触感稍薄,4.5,,2024/6/28,,,,,,,
112,满仓豆,埃塞,草莓soe,草莓 桃子 白巧,78/200,31.2,风味具象 奶咖甜感高,发酵感重 美式和低温明显,3.5,热奶咖,2024/6/29,,,,,,,
113,Fritz,哥斯达黎加,哥斯达黎加soe,蜜瓜 可可 红茶,18k韩元/200,50,奶咖甜感高 香气明显,发酵感明显 不适合美式,3.5,,2024/6/30,,,,,,,
114,AF,埃塞,耶加雪菲soe,柑橘 白色花 焦糖,29.9/227,13.2,性价比高,不耐萃,4+,,2024/7/1,2024/9/14,,,,,,
115,littlemango,拼配,橘子汽水,陈皮 坚果 可可,50/200,25,均衡 醇厚度高,触感偏弱,4,,2024/6/25,,,,,,,
116,野刺猬,拼配,爆浆芝士挞,芝士 焦糖  花香,78/227,34.4,奶咖芝士风味明显 整体均衡,触感稍差 微有烟感,4,奶咖 适当降低萃取率,2024/7/3,,,,,,,
117,艾思品,拼配,麦巧脆墩墩,巧克力 威化饼干,55/227,24.2,醇厚度尚可,触感差 风味一般,2.5,,2024/7/10,,,,,,,
118,光咖坊,埃塞,甜橙茉莉,花香 甜橙 奶油,136/150,90.6,香气丰富 甜感高 奶油感明显,偏贵 层次感稍弱,4.5,,2024/7/10,,,,,,,
119,M2M,埃塞,糖渍果子,热带水果 蜜饯 杏干,71.9/250,28.8,甜感高 水果风味明显 ,低温稍苦,5-,,2024/7/10,2025/6/11,,,,,,
120,辛鹿,拼配,草莓曲奇,草莓酱 曲奇饼干,46/252,18.3,性价比高 没有杂味 包装也好,触感稍差,4+,,2024/7/10,,,,,,,
121,白鲸,拼配,三重奏（中烘版）,柑橘 芒果 芝士 红茶,59/250,23.6,均衡干净,醇厚度稍弱 风味指向性弱,4+,,2024/7/12,,,,,,,
122,野刺猬,拼配,玉兰糖,花香 焦糖 杏桃 白巧,78/200,39,高甜 干净均衡,暂无,4.5,,2024/7/12,,,,,,,
123,分子,拼配,野孩子拼配,冰淇淋 蛋黄,49/227,21.6,奶咖尚可 冰淇淋感明显,美式发酵感偏重,3.5,奶咖,2024/7/12,,,,,,,
124,Wood,埃塞,奶油榴莲,榴莲 芝士,76/227,33.5,风味明显,触感很差,3,大幅降低萃取率,2024/7/12,,,,,,,
125,Lilo,哥伦比亚,酵母水洗 奇洛索,蜜瓜 西瓜 芝士,-,-,香气明显 甜感高,触感稍差,5,提高浓度降低萃取率,2024/7/16,,,,,,,
126,启程拓殖,埃塞,花香桃子,桃子 花香,69/200,34.5,香气明显 甜感高,触感偏薄,4+,,2024/7/16,,,,,,,
127,光咖坊,埃塞,木姜子柠檬草,木姜子 青柠檬 绿茶,108/227,47.6,香气明显 层次丰富,甜感稍弱 稍贵,4+,,2024/7/16,,,,,,,
128,softpillow,拼配,十七英里,热带水果 白花香,82.5/227,36.5,酸质明亮 整体干净,美式酸度稍高,4,,2024/7/16,,,,,,,
129,KONO,拼配,经典意式拼配,可可 香草 吐司,85/200,42.5,香味浓郁 甜刚高,价格偏贵 不好买,4.5,,2024/7/24,,,,,,,
130,白鲸,拼配,烟嗓,焦糖 朗姆 黑巧,65/500,13,性价比高 甜感高 醇厚度高,咖啡因含量高 ,4,适当降低萃取率,2024/7/24,,,,,,,
131,Coffee Buff,拼配,珈满瑰夏,覆盆子果酱 草莓 椰子糖 奶油,106/250,42.5,莓果风味炸裂 香气四溢,触感微弱 价格稍贵,5,,2024/7/24,,,,,,,
132,菠萝成子,拼配,日式深烘,黑巧 坚果,79/250,31.6,醇厚度高,性价比低 风味偏弱,3-,,2024/7/24,,,,,,,
133,Joker,埃塞,橙花soe,花香 杏干 奶油布丁,58/150,38.7,干净均衡 花香明显,风味轻度稍弱,4+,适当提高萃取浓度,2024/7/28,,,,,,,
134,布雷克+山姆,印尼,曼特宁,木质 黑巧,149.8/1000,15,醇厚度高,不新鲜 包装差 顺滑度差,2.5,,2024/7/28,,,,,,,
135,Wood,拼配,草莓跳跳糖,草莓糖 荔枝,79/227,34.8,风味明显,发酵感重 触感薄 性价比低,3.5,,2024/7/28,,,,,,,
136,Coffee Buff,拼配,蓝莓华夫,蓝莓果酱 黑醋栗,121/250,48.4,风味明显,酸度偏高 触感稍差 性价比低,4,奶咖多加奶,2024/7/28,,,,,,,
137,野刺猬,拼配,可可威化,可可 威化饼干 烤核桃,68/224,30.4,整体干净 醇厚度高 ,价格稍贵,4,,2024/8/8,,,,,,,
138,AF,埃塞,花魁soe,橘子 荔枝 水蜜桃 可可 红糖,63.9/400,15.975,整体均衡 性价比高,风味强度稍弱 略不耐萃,4+,适当降低萃取率,2024/8/8,2025/7/14,,,,,,
139,空杯巴士,埃塞,花魁soe,荔枝 桔子 花香,70/227,30.8,整体均衡,风味弱 性价比低,3,,2024/8/8,,,,,,,
140,One Way,埃塞,冠军拼配,草莓 桃子 红茶,150/250,60,风味明显 甜感高,有发酵感 触感稍差 性价比低,4-,奶咖,2024/8/8,,,,,,,
141,Coffee Buff,拼配,瓜瓜乐,西瓜 百合 水蜜桃,148/250,59.2,风味明显,性价比偏低 触感稍差 酸度稍高,4,,2024/8/10,,,,,,,
142,Coral,拼配,MayMay,葡萄 蓝莓 菠萝 水果酒,98/200,49,香气明显,性价比低 发酵感安心,3.5,冷萃,2024/8/10,,,,,,,
143,Lilo,拼配,醺夏,花香 水蜜桃 热带水果,-,-,香气明显 甜感高 ,微有发酵感,4.5,奶咖,2024/8/10,,,,,,,
144,AF,拼配,鲸落,柑橘酸 烤坚果 奶油,36/227,15.8,整体均衡 触感圆润 性价比高,风味指向弱,4,奶咖,2024/8/10,,,,,,,
145,启程拓殖,拼配,Peace Attack,牛奶饼干 枫糖 浆果酸质,52/200,26,奶咖整体均衡 甜感尚可,发酵感过重,3,,2024/8/22,,,,,,,
146,Coffee Buff,肯尼亚,红梅符文,树莓 红糖 葡萄干 西柚,96/250,38.4,奶咖甜感高 整体均衡,性价比偏低 美式一般,3.5,,2024/8/22,,,,,,,
147,老王子,拼配,冲冲芒芒,芒果 橙子 巧克力,53/250,21.2,性价比高 水果风味明显,微有发酵感,4+,,2024/8/22,,,,,,,
148,AF,拼配,银河拼配,花香 焦糖 水果酸质 奶油,77/454,17,性价比高 均衡,风味指向弱,4,,2024/8/22,,,,,,,
149,光咖坊,拼配,朗姆酒葡萄,朗姆酒 葡萄干 奶油,158/227,69.6,风味明显 触感顺滑,稍贵,5,,2024/8/21,,,,,,,
150,Softpillow,云南,紫叶卡杜拉,苹果酸 奶油 红糖 生巧,58/227,25.6,整体均衡 醇厚度高,低温稍有负面,4,,2025/8/21,,,,,,,
151,Iris,拼配,Rain,烤坚果 烟丝 黑巧,44/227,19.4,醇厚度高 甜感尚可,略有烟熏 顺滑度低,3,,2025/8/21,,,,,,,
152,Wood,拼配,小鸟拼配,焦糖 黑巧 芝士,69/227,30.4,甜感尚可,性价比低 焦苦味明显,3-,,2025/8/21,,,,,,,
153,Fisher,埃塞,超级日晒 阿朵拉soe,肉桂 香料 花香,228/454,50.2,肉桂味明显,风味单一 性价比低,2.5,,2024/8/29,,,,,,,
154,四人,拼配,草莓月亮,芒果 草莓 荔枝,66/150,44,风味明显,发酵感偏容 层次感差 性价比低,3,,2024/8/29,,,,,,,
155,光咖坊,拼配,黄油松饼,黄油 松饼 酒心巧克力,69/227,30.4,甜感高 触感顺滑 整体均衡,稍贵,4+,dirty,2024/8/29,,,,,,,
156,豆叔,拼配,向日葵2.0,坚果 焦糖 木调,68.8/500,13.8,便宜 醇厚度尚可,负面风味明显,3,,2024/8/29,,,,,,,
157,ONA,拼配,Raspberry Candy,覆盆子果酱 芝士蛋糕 白巧,-,-,奶咖甜感高 风味明显,美式稍有酵感 瑕疵率稍高,4+,热奶咖,2024/9/2,,,,,,,
158,启程拓殖,埃塞,Aloha 埃塞纯享版,紫葡萄 燕麦饼干 果木 红茶,73/200,36.5,整体均衡 甜感尚可,美式一般 风味指向性弱,4,,2024/9/2,,,,,,,
159,Outman,埃塞,哇没啦,花香 柑橘 红茶,56/227,24.7,水果风味明显 奶咖甜感高,美式一般,4+,,2024/9/2,,,,,,,
160,One Way,拼配,瑰夏拼配,紫色花 深色浆果 可可,139/250,55.6,酸质明显,性价比低 触感稍差,3.5-,,2024/9/2,,,,,,,
161,Maxpresso,埃塞,古吉soe,花香 柑橘 莓果,89/227,39.2,花香明显 甜感高 耐萃,微贵,4+,,2024/9/6,,,,,,,
162,KONO,拼配,炭烧拼配,黑巧 松木 焦糖 烟丝,95/200,47.5,醇厚度高 回甘明显,性价比偏低 奶咖一般,3.5,手冲,2024/9/6,,,,,,,
163,Malina,埃塞,夏奇索soe,柑橘 莓果 提拉米苏 ,80/250,32,风味明显 干净均衡,暂无,4.5,热奶咖,2024/9/6,,,,,,,
164,M2M,埃塞,果丁丁soe,莓果 热带水果 红茶,95.9,38.4,水果风味明显 整体干净,略有发酵感,4,,2024/9/6,,,,,,,
165,Big Sur,埃塞,阿朵拉soe,龙井绿茶 柑橘,68/200,34,干净清爽 茶香明显,触感偏薄 风味强度稍弱,4.5,适当提高浓度,2024/9/12,,,,,,,
166,光咖坊,拼配,栗子蒙布朗,栗子蒙布朗蛋糕 烤坚果,99/227,43.6,风味明显,风味稍单一,4-,,2024/9/12,,,,,,,
167,ONA,巴西,巴西日晒soe,葡萄干 黑巧 朗姆酒,-,-,风味明显 甜感高,美式稍有酵感,4.5,,2024/9/12,,,,,,,
168,Pinda,拼配,花果果,草莓 蜜桃 橘子汽水 奶油,88/227,38.8,整体均衡,性价比稍低 奶咖低温偏枯,3.5,,2024/9/12,,,,,,,
169,好一点,拼配,甜巧拼配,坚果 黑巧,47/250,18.8,醇厚度高,风味不足,3,,2024/9/14,,,,,,,
170,KONO,拼配,欧罗巴拼配,黑巧 坚果 焦糖,85/200,42.5,醇厚度高 甜感尚可,性价比低,3.5,,2024/9/18,,,,,,,
171,辛鹿,埃塞,橘香茉莉,茉莉花茶 桃子,75/500,15,香气明显 性价比高,触感差 味道稍杂,3.5,,2024/9/18,,,,,,,
172,有容乃大,拼配,夏季拼配,综合水果 水果酒,115/200,57.5,果香明显,发酵感明显,4,,2024/9/18,,,,,,,
